;Type;;;;;;;Activities;;;;;;Themes;;;Geographical focus;;;;;;;;;;;;;Contact;;;;;;
Name of the Organization;NGO;GO;Private Consultancy;Private Contractor;Private Financing;Private Supplier;Knowledge Institutes;Capacity building;Funding;Implementing;Lobbying;Networking;R & E;Water;Agriculture;Finance;Head Office;Africa;Asia;Europe; Middle East;North America;Central America;South America;Australia;Caribbean;Pacific;Global;Countries;Web Address;ISO2 Head Office;;;;;
3R consortium;x;;;;;;;x;;;;x;;x;x;;Netherlands;;;;;;;;;;;x;;http://www.bebuffered.com/;NL;;;;;
AATF ;x;;;;;;;x;;;;x;;x;x;;Kenya;x;;;;;;;;;;;;http://www.aatf-africa.org/about_aatf/overview/en/;KE;;;;;
Acacia Water ;;;x;;;;;;;;;;;x;;;Netherlands;;;;;;;;;;;x;;http://acaciawater.com/site/;NL;;;;;
Accion;x;;;;;;;;;;;;;;;x;USA;x;x;;;x;x;x;;;;;31 countries;http://www.accion.org/;US;;;;;
ACO Technologies - Rain-Ceptor;;;;;;x;;;;;;;;x;;;UK;;;;;;;;;;;;;http://www.aco.co.uk/product_detail.php?id=74;GB;;;;;
Action for Food Production (AFPRO);x;;;;;;;x;;x;;;;x;x;;India;;x;;;;;;;;;;India;http://www.afpro.org/;IN;;;;;
Africa Foundation;x;;;;;;;;;x;;;;x;;;UK;x;;;;;;;;;;;;http://africafoundation.org/projects/healthcare-and-clean-water;GB;;;;;
African Civil Society Network on Water and Sanitation (ANEW), The ;x;;;;;;;x;;;;x;;x;;;Kenya;x;;;;;;;;;;;African regions;http://www.anewafrica.org/;KE;;;;;
African Microfinance Network (AFMIN) ;;;;;x;;;;;;;;;;;;Benin;x;;;;;;;;;;;;http://www.afminetwork.org/;BJ;;;;;
African Sanitation Knowledge Network, The ;x;;;;;;;;;;;x;;x;;;Mozambique;x;;;;;;;;;;;;http://www.asknet-office.net/;MZ;;;;;
African Water Information System ;x;;;;;;;;;;;x;x;x;;;;x;;;;;;;;;;;;http://www.iowater.org/iowater/our-projects-news-and-update/article/african-water-information-system?lang=en;;;;;;
Agua Solutions;;;x;;;;;;;;;;;x;;;;;;;;;;;;;;x;;http://aguasolutions.com/;;;;;;
AGUATUYA;x;;;;;;;;;x;;;;x;;;Bolivia;;;;;;;x;;;;;Bolivia;http://aguatuya.org/?lang=en;BO;;;;;
Akvo;x;;x;;;;;;;;;x;;x;x;;The Netherlands;x;x;x;x;x;x;x;x;x;x;x;global;http://www.akvo.org/;NL;;;;;
AMCOW;x;;;;;;;x;;;;x;;x;;x;Nigeria;x;;;;;;;;;;;;http://www.amcow-online.org/index.php?lang=en;NG;;;;;
American Rain Water catchment system Association ;x;;;;;;;x;;;;x;;x;;;;;;;;x;;;;;;;North America;http://www.arcsa.org/index.asp;;;;;;
American water works association;x;;;;;;;x;;;;x;x;x;;;US;;;;;x;;;;;;;US;http://www.awwa.org/Resources/index.cfm?navItemNumber=1416;GB;;;;;
Amizade;x;;;;;;;;;;;;;x;;;USA;;;;;;;;;;;x;Tanzania, Mexico, Brazil, etc… 12 countries;http://amizade.org/;US;;;;;
Amsha Africa Foundation - Rainwater H2OG;;;;;;x;;;;;;;;x;;;Kenya;;;;;;;;;;;;Kenya, Zambia, USA;http://www.amshaafrica.org/projects-and-clients/projects-pipeline/rain-water-harvesting.html;KE;;;;;
Aqua fed international;x;;;;;;;x;;;;x;;x;;;Brussels & Paris;;;;;;;;;;;x;;http://www.aquafed.org/   http://www.aquafed.org/geography.html;FR;;;;;
Aqua for all;x;;;;;;;;;;;x;;x;;;Netherlands;x;x;;;;;x;;;;;;http://www.aquaforall.nl/;NL;;;;;
Aqua-Aero WaterSystems;;;;;;x;;;;;;;;x;;;The Netherlands;;;;;;;;;;;;subtropical and tropical regions;http://www.aaws.nl/index.php/products/rain-water-harvesting;NL;;;;;
AquaSanTec - Crestanks Limited;;;;;;x;;;;;;;;x;;;Uganda;;;;;;;;;;;;Kenya, Rwanda, Burundi, Uganda, South Sudan and Ethiopia;http://www.kentainers.com/;UG;;;;;
Association of Arab Office for Youth and the Environment;x;;;;;;;;;;;x;;x;;;Egypt;;;;x;;;;;;;;Egypt,;http://www.aoye.org/profile.htm;EG;;;;;
Ashish Plast;;;;;;x;;;;;;;;x;;;India;;x;;;;;;;;;;India;http://www.ashishabsdoors.com/plastic-storage-tanks.html;IN;;;;;
Asia Pacific Association of Agricultural Research Institutions (APAARI);x;;;;;;;;;;;x;;x;x;;Thailand;;x;;;;;;x;;x;;;http://www.apaari.org/;TH;;;;;
Assemblies of God Relief and Development Services (AGREDS), The;x;;;;;;;;;;;;;x;;x;Ghana;x;;;;;;;;;;;Ghana;http://www.agreds.org/index.php?ui=home#;GH;;;;;
Association for Strengthening Agricultural Research in Eastern and Central Africa (ASARECA);x;x;;;;;;x;;;;;;x;x;;Uganda;x;;;;;;;;;;;Uganda, Kenya, Tanzania, Ethiopia;http://www.asareca.org/;UG;;;;;
Association of Microfinance Institutions of Kenya;x;;;;;;;;x;;;;;;;x;Kenya;x;;;;;;;;;;;53 member institutions in Kenya;http://www.amfikenya.com/index.php;KE;;;;;
AVRDC the world vegetation centre;;;;;;;;;;;;;x;;x;;Taiwan;;;;;;;;;;;x;;http://www.unesco.org/;TW;;;;;
BACKLUND;;;x;;;;;;;;;;;x;;;Denmark;;;;;;;;;;;x;;http://www.backlund.dk/advice.htm;DK;;;;;
Bangladesh Association for Social Advancement (BASA);x;;;;;;;x;;;;x;;x;x;x;Bangladesh;;x;;;;;;;;;;Bangladesh;http://www.basango.org/;BD;;;;;
BIOFORSK;;;;;;;;;;;;;x;;x;;Norway;;;;;;;;;;;x;;http://avrdc.org;NO;;;;;
BioSandFilter.org;x;;;;;;;;;;;;;x;;;UK;;;;;;;;;;;x;;http://www.biosandfilter.org/biosandfilter/;GB;;;;;
Blantyre Water Board;;x;;;;;;;;;;;;;;;Malawi;x;;;;;;;;;;;Malawi;http://www.bwb.mw/;MW;;;;;
Botswana Technology Centre (BOTEC);;x;;;;;;;;;;;;;;;Botswana;x;;;;;;;;;;;Botswana;http://www.botec.bw/;BW;;;;;
Busoga Trust;x;;;;;;;;;x;;;x;x;;;UK;x;;;;;;;;;;;Uganda;http://www.busogatrust.co.uk/;GB;;;;;
Cap-Net;x;;;;;;;x;;;;x;;x;;;South Africa;;;;;;;;;;;x;;http://www.cap-net.org/;ZA;;;;;
CAWST;x;;;;;;;x;;x;;;;x;;;Canada;;;;;;;;;;;;;www.cawst.org;CA;;;;;
Centre for Environment and Development for the Arab region and Europe (CEDARE);x;x;;;;;;x;;;;x;;x;x;;Caro Egypt;;;x;x;;;;;;;;;http://www3.cedare.int/;EG;;;;;
Centre for Science and Environment;x;;;;;;x;x;;;x;;x;x;;;India;;x;;;;;;;;;;India;http://www.cseindia.org/;IN;;;;;
"Centre for Science & Technology of the Non-Aligned and Other Developing Countries (NAM S&T Centre)";x;;;;;;x;;;;;;x;;x;;India;;x;;;;;;;;;x;;http://www.namstct.org/;IN;;;;;
Charity water;x;;;;;;;x;;x;;;;x;;;New York;x;x;;;;x;x;;;;;;http://www.charitywater.org/;US;;;;;
Christian Children's Fund of Canada;x;;;;;;;;;;;;;x;;x;Canada;x;x;;;;x;x;;;;;Burkina Faso, Ethiopia, Ghana, India, Nicaragua, Paraguay and Tanzania;http://www.ccfcanada.ca/;CA;;;;;
Christian Engineers in Development;x;;;;;;;;;;;;;x;;;UK;x;;;x;;;;;;;;Rwanda, Tanzania, Uganda, Pakistan, Zanzibar, etc…;http://www.ced.org.uk/;GB;;;;;
Cidecall;x;;;;;;;;;;;;;x;;;Mexico;;;;;x;;;;;;;Mexico;http://www.colpos.mx/ircsa/cidecall/;MX;;;;;
City Government of Addis Ababa Water and Sewerage Authority;;x;;;;;;;;;;;;;;;Ethiopia ;x;;;;;;;;;;;Ethiopia;http://www.addisababacity.gov.et/index.php/en/economic-sector/water-and-sewerage-dev-and-management-authority;ET;;;;;
CITY Research Center;x;;;;;;;;;;;;x;x;;;Ecuador;;;;;;;x;;;;;;http://www.ciudad.org.ec/home;EC;;;;;
ClearWater Initiative;x;;;;;;;;;x;;;;;x;;;x;;;;;;;;;;;Uganda;http://clearwaterinitiative.org/;;;;;;
Climate Action Network (CAN);x;;;;;;;;;;;x;;x;x;;Lebanon;;;;;;;;;;;x;;http://www.climatenetwork.org/;LB;;;;;
Climate Network Africa (CNA );x;;;;;;;;;;;x;;x;x;;Kenya;x;;;;;;;;;;;;http://www.cnaf.or.ke/;KE;;;;;
Comprehensive Africa Agriculture Development Programme (CAADP);x;;;;;;;x;;;;x;;x;x;;South Africa;x;;;;;;;;;;;;http://www.nepad-caadp.net/;ZA;;;;;
Concern Worldwide;x;;;;;;;x;;x;;;;x;x;;Ireland, UK, US;x;x;;;;x;;;;;;;http://www.concern.net/;IE;;;;;
Conserve Africa;x;;;;;;;x;;;;x;;x;x;;London;x;;;;;;;;;;;;http://www.conserveafrica.org.uk/;GB;;;;;
Contech - Urban Green Rainwater Harvesting;;;;;;x;;;;;;;;x;;;USA;;;;;;;;;;;;Australia, Canada, China, Costa Rica, Mexico, Panama, USA;http://www.conteches.com/Products/Stormwater-Management/Rainwater-Harvesting.aspx;US;;;;;
Department Ministry of Minerals and Water Resources;;x;;;;;;;;;;;;x;;;Somalia;x;;;;;;;;;;;Somalia;;SO;;;;;
Directorate of National Water Resources;;x;;;;;;;;;;;;x;;;Somaliland;x;;;;;;;;;;;Somaliland;http://dwateresources-sl.com/;SO;;;;;
Eastern Africa Environmental Network (EAEN );x;;;;;;;x;;;;x;;x;;;Kenya;x;;;;;;;;;;;Burundi, Djibouti, Eritrea, Ethiopia, Kenya, Rwanda, Somalia, Sudan, Tanzania and Uganda;http://aros.trustafrica.org/index.php/Eastern_Africa_Environmental_Network_(EAEN);KE;;;;;
Eastern and Southern Africa Partnership Programme (ESAPP);x;;;;;;;x;;x;;;;x;x;;;x;;;;;;;;;;; Eritrea, Ethiopia, Kenya, Tanzania, Mozambique and Madagascar;http://www.esapp.info/;;;;;;
ECLOF;x;;;;;;;;;;;;;;;x;Kenya;x;x;;;x;;x;;;;;20 countries;http://www.eclof.org/;KE;;;;;
Eco Company, The ;;;;x;;x;;;;;;;;x;;;South Africa;x;;;;;;;;;;;South Africa;http://www.ecocompany.co.za/index.html;ZA;;;;;
Ekotank;;;;;;x;;;;;;;;x;;;Turkey;;;;;;;;;;;;more than 20;http://www.ekotank.net/index.html;TR;;;;;
Eloy Water;;;;;;x;;;;;;;;x;;;Belgium;;;;;;;;;;;;29 countries;http://www.eloy.be/water/en/pourquoi-eloy-water.php;BE;;;;;
End Water Poverty;x;;;;;;;;;x;;;;x;;;;;;;;;;;;;;x;global;http://www.endwaterpoverty.org/;;;;;;
Energy and Water Utilities Regulatory Authority (EWURA), The;;x;;;;;;;;;;;;x;;;Tanzania;x;;;;;;;;;;;Tanzania;http://www.ewura.go.tz/newsite/;TZ;;;;;
ENGINEERS & ARCHITECTS SOLIDARITY Association (IAS) ;x;;;;;;;;;;;;;x;;;Switzerland;x;;;;;;x;;x;;;"Haiti, Ecuador, Peru, Benin, Burkina Faso, Honduras, Mali, Senegal, Togo";http://www.ias-ch.org/siteias/index.php;CH;;;;;
Enterprise Environment and Equity in the Virunga Landscape of the Great Lakes;x;;;;;;;;;;;;;x;;;Kigali, Rwanda;x;;;;;;;;;;;Rwanda;http://www.virunga.net/;RW;;;;;
EPA: Watershed Academy Web;;x;;;;;x;;;;;;;x;;;US;;;;;;;;;;;x;;http://cfpub.epa.gov/watertrain/index.cfm;US;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Rain Water Catchment Systems Association;x;;;;;;;;;;;x;;x;;;Germany;;;x;;;;;;;;;;http://www.rainwaterconference.org/;DE;;;;;
Evenproducts Limited;;;;;;x;;;;;;;;x;;;UK;;;;;;;;;;;;;http://evenproducts.co.uk/;GB;;;;;
EWSA;;x;;;;;;;;;;;;x;;;Rwanda;x;;;;;;;;;;;Rwanda;http://www.ewsa.rw/overview.html;RW;;;;;
Excellent Development;x;;;;;;;x;;x;;;;x;x;;UK;x;;;;;;;;;;;Kenya, Zimbabwe, Uganda;http://www.excellentdevelopment.com/home/home;GB;;;;;
FBR;x;;;;;;;;;;;x;;x;;;Germany;;;x;;;;;;;;;;http://www.fbr.de/home.html;DE;;;;;
FINCA;x;;;;;;;;;;;;;;;x;USA;x;x;x;x;x;;x;;;;;Democratic Republic of Congo, Malawi, Tanzania, Uganda and Zambia. Ecuador, El Salvador, Guatemala, Haiti, Honduras, Mexico and Nicaragua. Armenia, Azerbaijan, Georgia, Kosovo, Kyrgyzstan, Russia, and Tajikistan. Afghanistan, Jordan.;http://www.finca.org/site/c.6fIGIXMFJnJ0H/b.6088193/k.BE5D/Home.htm#.UTk5PNF8Jck;US;;;;;
Flexible Rain Barrels;;;;;;x;;;;;;;;x;;;Canada;;;;;;;;;;;;;http://tufftechbags.com/;CA;;;;;
Fondation Ensemble, The;x;;;;;;;;;;;;;x;x;x;France;;;;;;;;;;;;;http://www.fondationensemble.org/indexa.php;FR;;;;;
Food and Agricultural Organization of the United Nations;;x;;;;;;x;;x;;;;;x;;Italy;;;;;;;;;;;x;130 countries;http://www.fao.org/index_en.htm;IT;;;;;
Fresh Water Action Network;x;;;;;;;x;;;;x;;x;;;;;;;;;;;;;;x;;http://www.freshwateraction.net/;;;;;;
Friends of the Earth Middle East (FoEME);x;;;;;;;x;;x;;;;;;;Amman, Betlhem, Tel Aviv;;;;x;;;;;;;;Israel, Palestine, Jordan;http://foeme.org/;IL;;;;;
Future water ;;;x;;;;;;;;;;;x;;;Netherlands;;;;;;;;;;;x;;http://www.futurewater.nl/uk/projects/;NL;;;;;
GEMStat;x;;;;;;;;;;;x;x;x;x;;Kenya;;;;;;;;;;;;;http://www.gemstat.org/;KE;;;;;
Gender and Water Alliance;x;;;;;;;x;;;;x;;x;x;;Netherlands;x;x;;;;;;;;x;;;http://www.genderandwater.org/page/121;NL;;;;;
 Global Forum on Agricultural Research (GFAR);x;;;;;;;;;;;;;x;x;;Italy;;;;;;;;;;;x;;http://www.egfar.org/;IT;;;;;
Global Rainwater Harvesting Collective ;x;;;;;;;;;;;x;;x;;;India;x;x;;;;;;;;;;India;http://199.189.253.101/$sitepreview/globalrainwaterharvesting.org/;IN;;;;;
Global Water Partnership (GWP);x;;;;;;;x;;;;x;;x;x;;Stockholm Sweden;;;;;;;;;;;x;;http://www.gwp.org/;SE;;;;;
Global Water System Project;x;;;;;;;x;;;;x;;x;;;;;;;;;;;;;;x;;http://www.gwsp.org/;;;;;;
Grameen Foundation ;x;;;;;;;;;;;;;;;x;USA;x;x;;x;x;;x;;;;;36 countries;http://www.grameenfoundation.org/;US;;;;;
Greater Horn of Africa Rainwater Partnership;x;;;;;;;x;;;;x;;x;;;Nairobi Kenya;x;;;;;;;;;;;Ethiopia, Kenya, Uganda, Tanzania, Somalia;http://www.gharainwater.org/;KE;;;;;
Grundfos RMQ;;;;;;x;;;;;;;;x;;;Denmark;;;;;;;;;;;;more than 100;http://net.grundfos.com/doc/webnet/rmq/frames_flash.htm;DK;;;;;
HAKI ZA WANAWAKE NA WATOTO MUSOMA (HAWAWAMU);x;;;;;;;;;;;;;x;;;Mara, Tanzania;x;;;;;;;;;;;Tanzania;http://www.tnnc.go.tz/ngodetails.php?applicationid=404;TZ;;;;;
Harvest H2O;x;;;;;;;;;;;x;;x;x;;;;;;;;;;;;;x;;http://www.harvesth2o.com/;;;;;;
Healing Waters International;x;;;;;;;x;;x;;;;;;;;;;;;;;x;;;;;;http://www.healingwaters.org;;;;;;
HI-TEC PLUMBING;;;;x;;;;;;x;;;;x;;;South Africa;x;;;;;;;;;;;South Africa;http://hitecplumbing.co.za/;ZA;;;;;
HMT - Innovative Tank Solutions;;;;;;x;;;;;;;;;;;USA;;;;;;;;;;;;global offices;http://www.hmttank.com/;US;;;;;
Horn of Africa Regional Environment Centre and Network (HoA-REC/N);x;;;;;;;x;;;;x;;x;x;;Ethiopia;x;;;;;;;;;;;Djibouti, Eritrea, Ethiopia, Kenya, Somalia, South Sudan, Sudan;http://www.hoarec.org/;ET;;;;;
House of water and environment ;x;;;;;;;x;;;;x;;x;x;;Palestine;;;;x;;;;;;;;;http://www.hwe.org.ps/;PS;;;;;
HTSPE: International Programme Management;;;x;;;;;;;;;;;x;x;;UK;;;;;;;;;;;;Asia, Africa, Central & South America, Europe;http://www.htspe.com/home.htm;GB;;;;;
ICRAF;x;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;http://www.ciesin.org/IC/icraf/ICRAF.html;;;;;;
IMAWESA;x;;;;;;;x;;;;x;;x;x;;Nairobi;x;;;;;;;;;;;except Somalia;http://imawesa.info/;KE;;;;;
Indian Water Works Association (IWWA);x;;;;;;;;;;;x;;x;;;India;;x;;;;;;;;;;India;http://www.iwwa.info/index.php;IN;;;;;
International Association of Hydrogeologists (IAH);x;;;;;;;;;;;;x;x;;;UK;;;;;;;;;;;x;;http://www.iah.org/;GB;;;;;
International Center for Agricultural Research in the Dry Areas (ICARDA);x;;;;;;;x;;;;;x;x;x;;Syrian Arab Republic;;;;x;;;;;;;;;http://www.icarda.cgiar.org/Facelift.htm;SY;;;;;
Institute of Water and Sanitation Development;;;;;;;x;x;;;;;x;x;;;Zimbabwe;;;;;;;;;;;x;;http://www.iwsd.co.zw/;ZW;;;;;
Inter Water Organizations ;x;;;;;;;x;;;;x;;x;;;Netherlands;;;;;;;;;;;x;;http://www.irc.nl/page/126;NL;;;;;
Intergovernmental Authority on Development (IGAD);;x;;;;;;;;;;x;;x;;;Republic of Djibouti;x;;;;;;;;;;;Djibouti, Ethiopia, Kenya, Somalia, Sudan, Uganda, and Eritrea;http://igad.int/;DJ;;;;;
International Centre for Water Management ;;;x;;;;;;;;;;;x;;;Switzerland;;;;;;;;;;;x;;http://www.cewas.org/index.php/home/home/;CH;;;;;
International Commission on Irrigation and Drainage (ICID);x;;;;;;;x;;;;x;;x;;;India;;;;;;;;;;;x;;http://www.icid.org/;IN;;;;;
International Development Association (IDA);x;x;;;;;;;;;;;;x;x;;USA;x;x;x;x;;x;x;;x;x;x;more than 100 offices globally;http://www.worldbank.org/ida/index.html;US;;;;;
International Office for Water (IOW);x;;;;;;;x;;;;x;;x;;;France;;;;;;;;;;;x;;http://www.oieau.fr;FR;;;;;
International Rain Water Catchment System Association ;x;;;;;;;x;;;;x;;x;;;;x;x;x;;x;;x;;;;;;http://www.eng.warwick.ac.uk/ircsa/;;;;;;
International Rainwater Harvesting Alliance;x;;;;;;;x;;;;x;;x;;; Geneva;;;;;;;;;;;x;;http://www.irha-h2o.org/;CH;;;;;
International Relief & Development;x;;;;;;;;;;;;;x;;;USA;x;x;;;x;;x;;;;;Zimbabwe, Ethiopia, more…;http://www.ird.org/blog/ird-hosts-regional-rainwater-harvesting-workshop;US;;;;;
International Water and Sanitation Centre (IRC);x;;;;;;;x;;;;x;;x;;;Netherlands;x;x;;;;;x;;;;;;http://www.irc.nl/;NL;;;;;
International Water Association;x;;;;;;;;;;;x;;x;;;UK;;;;;;;;;;;x;;http://www.iwahq.org/1nb/home.html;GB;;;;;
International Water Management Institute  (IWMI);;;;;;;x;x;;;;;x;x;;;Sri Lanka;x;x;;;;;;;;;x;;http://www.iwmi.cgiar.org/;LK;;;;;
International Water Resources Association (IWRA);x;;;;;;;x;;;;x;;x;;;France;;;;;;;;;;;x;;http://www.iwra.org/;FR;;;;;
INTEWA;;;;;;x;;;;;;;;x;;;Germany;;;;;;;;;;;;Egypt, Baltic states, Belgium, Brazil, Denamrk, France, French Polynesia, UK, India, Ireland, Luxemburg, Mexico, Netherlands, Austria, Singapore, Slovenia and Croatia,  South Africa, Switzerland, United Arab Emirates;http://www.intewa.de/1/home/;DE;;;;;
ISRIC - World Soil Information;x;;;;;;;x;;;;x;;;;x;Netherlands;;;;;;;;;;;x;Kenya, Morocco;http://www.isric.org/;NL;;;;;
Jal Swaraj;x;;;;;;;;;x;;;;x;x;;India;;x;;;;;;;;;;India;http://www.rainwaterharvesting.org/jalswaraj2.htm;IN;;;;;
Japan water forum ;x;;;;;;;x;;;;x;;x;;;;;;;;;;;;;x;;global;http://www.waterforum.jp;;;;;;
Joint Effort to Save the Environment (JESE);x;;;;;;;;;;;;;x;x;;Uganda;x;;;;;;;;;;;;http://www.jese.org;UG;;;;;
JoJo Tanks;;;;;;x;;;;;;;;x;;;South Africa;;;;;;;;;;;;;http://www.rainharvest.co.za/;ZA;;;;;
Kabissa;x;;;;;;;;;;;x;x;x;x;;;;;;;;;;;;;;;http://www.kabissa.org/about;;;;;;
Kenya Agricultural Research Institute (KARI);x;;;;;;;;;;;;x;;x;;Kenya;x;;;;;;;;;;;;http://cenafrica.net/kari/;KE;;;;;
Kenya Rainwater Harvesting Association;x;;;;;;;;;;;x;;x;;;Nairobi Kenya;x;;;;;;;;;;;Kenya;http://www.gharainwater.org/kra_about.html;KE;;;;;
Kenya Women Finance Trust Limited (KWFT);x;;;;;;;;;;;;;;;x;Kenya;x;;;;;;;;;;;Kenya;http://www.kwft.org/index.php;KE;;;;;
LABARONNE - CITAF;;;;;;x;;;;;;;;x;;;France;;;;;;;;;;;;;http://www.labaronne-citaf.com/;FR;;;;;
Lanka Rain Water harvesting forum;x;;;;;;;x;;;;x;;x;;;Sri Lanka;;x;;;;;;;;;;Sri Lanka;http://www.lankarainwater.org/index.htm;LK;;;;;
Life and the Environment ;x;;;;;;;;;;;x;;;;;Israel;;;;x;;;;;;;;Israel;http://www.sviva.net/eng/Info.php?docId=new_homepage;IL;;;;;
Lifewater ;x;;;;;;;;;x;;;;;x;;US;x;x;;;;;x;;;;;;http://www.lifewater.org;US;;;;;
Lilongwe Water Board;;x;;;;;;;;;;;;;;;Malawi;x;;;;;;;;;;;Malawi;http://www.lwb.mw/;MW;;;;;
Maji na Ufanisi (Water and Development) ;x;;;;;;;x;;x;;;;x;;;Nairobi;x;;;;;;;;;;;Kenya;http://www.majinaufanisi.com/;KE;;;;;
MAVUNO;x;;;;;;;;;;;;;x;;;Kagera, Tanzania;x;;;;;;;;;;;Tanzania;http://www.mavunoproject.org/index.html;TZ;;;;;
Metameta;;;x;;;;;;;;;;;x;;;Netherlands;;;;;;;;;;;x;;http://www.metameta.nl/;NL;;;;;
Micro Water Facility;x;;x;;;;;;;;;;;x;;x;Netherlands;x;x;;;;;;;;;;;http://www.microwaterfacility.org/;NL;;;;;
Ministry of Agriculture;;x;;;;;;;;;;;;;;;Botswana;x;;;;;;;;;;;Botswana;http://www.moa.gov.bw/;BW;;;;;
Ministry of Energy and Water Development, The;;x;;;;;;;;;;;;x;;;Zambia;x;;;;;;;;;;;Zambia;http://www.mewd.gov.zm/index.php;ZM;;;;;
Ministry of Infrastructure;;x;;;;;;;;;;;;x;;;Rwanda;x;;;;;;;;;;;Rwanda;http://www.mininfra.gov.rw/index.php?id=27;RW;;;;;
Ministry of Irrigation and Water Development (MoIWD), The ;;x;;;;;;;;;;;;;;;Malawi;x;;;;;;;;;;;Malawi;http://waterswap.org/;MW;;;;;
Ministry of Land Water and Environment;;x;;;;;;;;;;;;x;;;Eritrea;x;;;;;;;;;;;Eritrea;http://ecss-online.com/tag/water/;ER;;;;;
Ministry of Local Government, Land and Housing (MLGLH);;x;;;;;;;;;;;;;;;Botswana;x;;;;;;;;;;;Botswana;http://www.gov.bw/en/Ministries--Authorities/Ministries/Ministry-of-Land-and-Housing-MLH/;BW;;;;;
Ministry of Minerals, Energy and Water Resources (MMEWR);;x;;;;;;;;;;;;;;;Botswana;x;;;;;;;;;;;Botswana;http://www.gov.bw/en/Ministries--Authorities/Ministries/Ministry-of-Minerals-Energy-and-Water-Resources-MMWER/;BW;;;;;
Ministry of Natural Resources (MINIRENA), The;;x;;;;;;;;;;;;x;;;Rwanda;x;;;;;;;;;;;Rwanda;http://www.minirena.gov.rw/index.php?id=551;RW;;;;;
Ministry of Pastoral Development and Environment;;x;;;;;;;;;;;;x;;;Somalia;x;;;;;;;;;;;Somalia;;SO;;;;;
Ministry of Water and Energy of Ethiopia, The;;x;;;;;;;;;;;;x;;;Ethiopia;x;;;;;;;;;;;Ethiopia;http://www.mowr.gov.et/;ET;;;;;
